time,Ca_x,x_len,y_len,major_len,minor_len
3.16,-0.7542517107720064,1.3071443,3.4529097,3.452920381270316,1.3071467509783368
3.17,-0.7560244610239008,1.3063999,3.4525077,3.4525182876695046,1.306402380050125
3.18,-0.7577916828754967,1.3056961,3.4521219,3.452132396337797,1.305698609001849
3.19,-0.7595533634040511,1.3050305,3.4517522,3.45176260743007,1.3050330377179806
3.2,-0.7613094897273417,1.3044009,3.4513984,3.451408720405839,1.3044034666329223
3.21,-0.7630600490037611,1.3038055000000002,3.4510603,3.4510705354147397,1.3038080952766746
3.22,-0.7648050284324109,1.3032423,3.4507375,3.4507476522933294,1.3032449238761163
3.23,-0.7665444152531948,1.3027096,3.4504297,3.450439771093901,1.3027122522897283
3.24,-0.7682781967469127,1.3022056,3.4501364,3.4501463916567046,1.3022082806845727
3.25,-0.7700063602353525,1.3017287,3.4498574,3.449867313942745,1.3017314089904106
3.26,-0.7717288930813843,1.3012777,3.4495923,3.4496021380411026,1.3012804370195976
3.27,-0.7734457826890517,1.3008508,3.4493406,3.4493503636066754,1.300853565024504
3.28,-0.7751570165036644,1.3004470000000001,3.449102,3.449111690596553,1.3004497928260528
